NewsInEnglish,NewsInTamil,Category,CategoryInTamil
2017/May/19941-miss-iraq-competition-after-43-years.txt,ஈராக்கில் 43 ஆண்டுகள் கழித்து அழகிப்போட்டி,world, உலகம்
2018/Dec/55921-viswasam-s-rustic-folk-song-has-been-released.txt,இந்திய அளவில் ட்ரெண்ட் ஆன அஜித்தின் ‘தள்லே தில்லாலே’ ,cinema, சினிமா
2018/Dec/55929-inspector-who-bought-insurance-at-his-own-expense.txt,சொந்த செலவில் வாகன காப்பீடு எடுத்து கொடுத்த காவல் ஆய்வாளர்,tamilnadu, தமிழ்நாடு
2017/Jan/16161-morarji-desai-budget.txt,பிறந்தநாளில் பட்ஜெட் தாக்கல் செய்தவர்,india, இந்தியா
2018/Jun/46476-i-have-not-joined-bjp-or-anyother-political-party-varalaxmi-sarathkumar.txt,“நானா? பாஜகவில் இணைந்துவிட்டேனா” - வரலட்சுமி விளக்கம்,cinema, சினிமா
2017/Oct/33330-nia-files-charge-sheet-against-zakir-naik-in-hate-speech-incitement-case.txt,இஸ்லாமிய மதபோதகர் ஜாகிர் நாயக் மீது 58 பக்க குற்றப்பத்திரிக்கை தாக்கல்,india, இந்தியா
2017/Oct/32870-dhanush-wishes-to-meyatha-maan.txt,மேயாதமான் இசையமைப்பாளர்களுக்கு மிகப்பெரிய வாழ்த்து: தனுஷ் ட்வீட்,cinema, சினிமா
2018/Sep/51133-amit-shah-s-said-bjo-rule-next-50-years.txt,அடுத்த 50 ஆண்டுக்கு பாஜக ஆட்சி - அமித் ஷா,india, இந்தியா
2018/Feb/40233-chennai-corporation-bus-passes-rate-increase.txt,"தொடரும் பஸ் கட்டண உயர்வு: தினசரி, மாதாந்திர பாஸ்-ம் காலி!",tamilnadu, தமிழ்நாடு
2018/Apr/44451-20-tamilians-arrested-in-tirupathi.txt,செம்மரம் வெட்டச் சென்றதாக திருப்பதியில் தமிழர்கள் கைது,tamilnadu, தமிழ்நாடு
2018/Jul/47836-debate-on.txt,"ஒரே நேரத்தில் மக்களவை, பேரவைகளுக்கு தேர்தல்",politics, அரசியல்
2018/Jan/38921-bus-strike-chennai-suburban-metro-rail-are-with-crowd.txt,பஸ் ஸ்டிரைக்: மெட்ரோ ரயிலில் குவிந்த சென்னை மக்கள்,tamilnadu, தமிழ்நாடு
2016/Dec/14350-she-paid-tribute-at-the-memorial-of-the-death-of-a-heart-attack.txt,ஜெயலலிதா நினைவிடத்தில் அஞ்சலி செலுத்தியவர் மாரடைப்பால் மரணம்...,tamilnadu, தமிழ்நாடு
2017/May/20312-cbi-raid-completed-in-chidambaram-house.txt,சிபிஐ சோதனை நிறைவு.. சிதம்பரம் வீடுகளில் சிக்கியது என்ன..?,tamilnadu, தமிழ்நாடு
2017/Feb/16908-germany-tells-parents-to-destroy-microphone-in-illegal-doll.txt,உளவு பார்க்கும் பொம்மை,world, உலகம்
2018/Jan/38632-a-raja-s-2g-book-release-on-january-20.txt,ஆ.ராசாவின் 2ஜி புத்தகம் ஜனவரி 20-ல் வெளியீடு,politics, அரசியல்
2017/Apr/19679-its-is-accident-or-murder-police-enquiry.txt,நடந்தது விபத்தா? படுகொலையா?: சயானிடம் விசாரணை தீவிரம்,tamilnadu, தமிழ்நாடு
2018/Jun/47050-fifa-world-cup-2018-denmark-beat-peru-1-0.txt,உலகக் கோப்பை கால்பந்து: பெருவை வீழ்த்தி டென்மார்க் அசத்தல்,sports, விளையாட்டு
2017/May/20091-tamil-nadu-police-examination-hall-tickets-can-be-downloaded.txt,போலீஸ் வேலை: ஹால் டிக்கெட்கள் ரெடி,tamilnadu, தமிழ்நாடு
2018/Apr/43865-udhayanidhi-stalin-new-tweet-for-cauvery-management-board.txt,காவிரிக்காக தமிழ் திரைப்படங்களின் வெளியீடும் ஒத்திவைக்கப்படுமா..? உதயநிதி ஸ்டாலின்,cinema, சினிமா
2018/Dec/56393-viswasam-trailer-has-been-released.txt,''ஒத்தைக்கு ஒத்த வாடா''... வெளியானது விஸ்வாசம் டிரைலர்!,cinema, சினிமா
2017/Nov/35793-heavy-snowfall-in-dharmapuri.txt,தருமபுரியில் கடுமையான பனிப் பொழிவு : வாகன ஓட்டிகள் அவதி,tamilnadu, தமிழ்நாடு
2017/Aug/27029-alcohol-sale-in-mannargudi-alleged-police.txt,மன்னார்குடியில் அமோகமாக மது விற்பனை: கண்டுகொள்ளாத காவல்துறை,tamilnadu, தமிழ்நாடு
2018/May/45073-bal-gangadhar-thilagar-is-a-father-of-terrorism-textbook-controversy.txt,‘பயங்கரவாதிகளின் தந்தை திலகர்’: 8ம் வகுப்பு பாடப் புத்தகத்தால் சர்ச்சை,india, இந்தியா
2018/Oct/52816-ration-shop-employees-strike-from-today.txt,நியாயவிலைக் கடை ஊழியர்கள் இன்று முதல் வேலைநிறுத்தம்,tamilnadu, தமிழ்நாடு
2018/Oct/53245-18-mlas-disqualification-case-judgement-third-judge-to-pronounce-order-on-today-10-30am.txt,18 எம்.எல்.ஏக்கள் தகுதி நீக்க வழக்கு - காலை 10.30 மணிக்கு தீர்ப்பு !,tamilnadu, தமிழ்நாடு
2018/Jul/48206-student-is-massaging-the-teachers-in-thindugal-government-school.txt,ஆசிரியருக்கு மசாஜ் செய்யும் மாணவன்; வைரலாகும் வீடியோ ,tamilnadu, தமிழ்நாடு
2017/Jun/22899-yoga-gold-medalist-makes-a-living-as-labourer-in-chhattisgarh.txt,சித்தாள் வேலை பார்க்கிறார் யோகாவில் தங்கம் வென்ற வீராங்கனை,india, இந்தியா
2018/Aug/49280-actor-vijay-visit-kavery-hospital-to-enquire-karunanidhi-health-conditions.txt,கருணாநிதி நலம் குறித்து விசாரிக்க நடிகர் விஜய் காவேரி மருத்துவமனை வருகை,tamilnadu, தமிழ்நாடு
2018/Sep/51986-thambidurai-welcome-mk-stalin-to-mgr-100-function.txt,"எம்ஜிஆர், கருணாநிதி நட்பை ஸ்டாலின் மறக்கக்கூடாது - தம்பிதுரை அழைப்பு",tamilnadu, தமிழ்நாடு
2016/Aug/9755-child-to-hit-mother.txt,குழந்தையை கொலைவெறியுடன் தாக்கும் தாய்..குடும்பத் தகராறால் விபரீதம்,india, இந்தியா
2018/May/45387-pollard-was-very-upset-when-he-was-left-out-rohit-sharma.txt,அதற்காக வருத்தப்பட்டார் பொல்லார்ட்: ரோகித் சர்மா,sports, விளையாட்டு
2018/Oct/52335-dusu-president-didn-t-study-at-tamil-nadu-university-state-department-told.txt,அவர் இங்க படிக்கவே இல்லையே : அதிர்ச்சி கொடுத்த திருவள்ளூர் பல்கலைக்கழகம்,india, இந்தியா
2018/Jul/48651-don-t-kill-us-we-want-to-live-together-kerala-couple-faces-death-threats.txt,'சேர்ந்து வாழ எங்களுக்கு ஆசை.. கொன்று விடாதீர்கள்..’கேரள இளம் தம்பதி உருக்கம்..!,india, இந்தியா
2017/Apr/19398-rajinikanth-2-o-movie-update.txt,ரஜினியின் 2.ஓ ரிலீஸ் தள்ளிப்போனது ஏன்?,cinema, சினிமா
2018/Oct/53162-ipl-2018-dhawan-set-for-kxip-karun-nair-to-hydrabad.txt,"ஐபிஎல் 2019: அணி மாறும் வீரர்கள், ஏலத்துக்கு முன்பே தொடங்கியது போட்டி!",sports, விளையாட்டு
2017/Mar/18576-electric-bicycle-crashes-into-minibus-in-east-china.txt,இருமுறை சிற்றுந்து மோதியும் தப்பிய நபர் (வீடியோ),world, உலகம்
2018/Jun/46577-tuticorin-gun-shoot-two-sub-tahsildar-are-transferred.txt,துப்பாக்கிச்சூடு : தூத்துக்குடி துணை வட்டாட்சியர்கள் பணியிடமாற்றம்,tamilnadu, தமிழ்நாடு
2017/Sep/29382-rs-1-000-should-be-brought-back-to-the-banknotes.txt,"'ரூ.1,000 நோட்டுகளை திரும்ப கொண்டுவர வேண்டும்' - ஆய்வில் முடிவு ",india, இந்தியா
2018/May/45105-24-voter-turnout-recorded-till-11-am-in-karnataka.txt,கர்நாடகாவில் 11 மணி நிலவரப்படி 24% வாக்குப்பதிவு,india, இந்தியா
2017/Sep/31023-krishnagiri-district-river-problem.txt,ஆற்றில் பொங்கும் நுரை: காரணம் புரியாமல் மக்கள் அவதி,tamilnadu, தமிழ்நாடு
2017/Mar/17631-illegal-immigration-is-least-because-of-tribute-to-trump.txt,சட்ட விரோதக் குடியேற்றம் குறைந்தது: ட்ரம்புக்கு அதிகாரிகள் புகழாரம்,world, உலகம்
